stageName,frequencyHz,sourceChain,destinationChain,magnitudeDb,phaseDegrees
pre-PA,-6015625.0,0,1,-12.875980117696068,96.71621913811637
pre-PA,-6015625.0,1,1,0.0,0.0
pre-PA,-5976562.5,0,0,0.0,0.0
pre-PA,-5976562.5,1,0,-20.1046714810758,-20.471609727202175
pre-PA,-5976562.5,0,1,-12.873301655349671,96.28157325815017
pre-PA,-5976562.5,1,1,0.0,0.0
pre-PA,-5937500.0,0,0,0.0,0.0
pre-PA,-5937500.0,1,0,-20.102715606237595,-20.569825487595704
pre-PA,-5937500.0,0,1,-12.870653354356126,95.84689921233941
pre-PA,-5937500.0,1,1,0.0,0.0
pre-PA,-5898437.5,0,0,0.0,0.0
pre-PA,-5898437.5,1,0,-20.100746948374393,-20.66801560841574
pre-PA,-5898437.5,0,1,-12.868035212112632,95.41219733595844
pre-PA,-5898437.5,1,1,0.0,0.0
pre-PA,-5859375.0,0,0,0.0,0.0
pre-PA,-5859375.0,1,0,-20.09876550848208,-20.766181049308912
pre-PA,-5859375.0,0,1,-12.865447226037134,94.97746796395049
pre-PA,-5859375.0,1,1,0.0,0.0
pre-PA,-5820312.5,0,0,0.0,0.0
pre-PA,-5820312.5,1,0,-20.09677128824326,-20.864322769705375
pre-PA,-5820312.5,0,1,-12.862889393568436,94.54271143093175
pre-PA,-5820312.5,1,1,0.0,0.0
pre-PA,-5781250.0,0,0,0.0,0.0
pre-PA,-5781250.0,1,0,-20.094764290027477,-20.96244172878499
pre-PA,-5781250.0,0,1,-12.860361712166313,94.10792807119503
pre-PA,-5781250.0,1,1,0.0,0.0
pre-PA,-5742187.5,0,0,0.0,0.0
pre-PA,-5742187.5,1,0,-20.09274451689119,-21.06053888544331
pre-PA,-5742187.5,0,1,-12.857864179311644,93.67311821871395
pre-PA,-5742187.5,1,1,0.0,0.0
pre-PA,-5703125.0,0,0,0.0,0.0
pre-PA,-5703125.0,1,0,-20.09071197257784,-21.158615198257856
pre-PA,-5703125.0,0,1,-12.85539679250653,93.23828220714661
pre-PA,-5703125.0,1,1,0.0,0.0
pre-PA,-5664062.5,0,0,0.0,0.0
pre-PA,-5664062.5,1,0,-20.088666661517788,-21.256671625454068
pre-PA,-5664062.5,0,1,-12.852959549274395,92.80342036983969
pre-PA,-5664062.5,1,1,0.0,0.0
pre-PA,-5625000.0,0,0,0.0,0.0
pre-PA,-5625000.0,1,0,-20.086608588828227,-21.35470912487164
pre-PA,-5625000.0,0,1,-12.85055244716011,92.3685330398321
pre-PA,-5625000.0,1,1,0.0,0.0
pre-PA,-5585937.5,0,0,0.0,0.0
pre-PA,-5585937.5,1,0,-20.08453776031302,-21.452728653930485
pre-PA,-5585937.5,0,1,-12.84817548373011,91.93362054985911
pre-PA,-5585937.5,1,1,0.0,0.0
pre-PA,-5546875.0,0,0,0.0,0.0
pre-PA,-5546875.0,1,0,-20.082454182462527,-21.55073116959707
pre-PA,-5546875.0,0,1,-12.84582865657249,91.49868323235607
pre-PA,-5546875.0,1,1,0.0,0.0
